"state","count"
"FL ",1427640
"CA ",1321924
"NC ",1019749
"MI ",786668
"TN ",775079
"TX ",734041
"PA ",678510
"KY ",620538
"GA ",604961
"VA ",536195
"NY ",507280
"IA ",443591
"MN ",433918
"CO ",412618
"OH ",355927
"MD ",319203
"AL ",311438
"UT ",287486
"CT ",251333
"IL ",243262
"AZ ",231439
"IN ",212415
"AR ",177681
"NJ ",161496
"MO ",149968
"MA ",142604
"SC ",141727
"NE ",133102
"MS ",131213
"DE ",111690
"KS ",105639
"NM ",104643
"OR ",92651
"NH ",90481
"ME ",90407
"LA ",89710
"OK ",73376
"WA ",65728
"NV ",60534
"WV ",37938
"ND ",31666
"VT ",22326
"WI ",21804
"DC ",21494
"WY ",17140
"SD ",15309
"RI ",12318
"AK ",10448
"ID ",5270
NA,3265
"MT ",2229
"MSA",1145
"HI ",581
