"state","count"
"CA ",118024
"FL ",105162
"MI ",65284
"TN ",62038
"NC ",59144
"PA ",56729
"TX ",52153
"KY ",41233
"GA ",35200
"IA ",32319
"NY ",31610
"OH ",31251
"AZ ",28233
"CO ",26641
"AL ",22312
"VA ",19652
"MO ",17188
"MD ",15429
"MN ",14669
"MA ",14218
"UT ",13886
"MS ",12368
"DE ",12303
"CT ",11188
"AR ",10869
"IN ",10510
"ME ",10127
"NM ",9915
"NJ ",9785
"IL ",9650
"NE ",9082
"LA ",7661
"NH ",7560
"SC ",7017
"WV ",6687
"KS ",6504
"OR ",5825
"WA ",5123
"DC ",2969
"VT ",2080
"OK ",1982
"ND ",1918
"NV ",1597
"WY ",1299
"SD ",1166
"RI ",957
"AK ",538
"WI ",525
NA,229
"ID ",148
"MSA",116
"MT ",106
"HI ",42
"XY ",2
