"state","count"
"CA ",207100
"FL ",185178
"TN ",112971
"MI ",112964
"TX ",104273
"NC ",99364
"KY ",94037
"PA ",75867
"GA ",59109
"OH ",54661
"IA ",51727
"NY ",49865
"VA ",45437
"CO ",42301
"AL ",38375
"AZ ",35183
"MA ",34815
"MN ",26800
"CT ",26719
"MO ",24304
"ME ",23615
"UT ",23385
"IN ",22821
"DE ",21953
"MD ",18940
"AR ",18579
"MS ",18344
"NM ",16227
"IL ",16170
"NJ ",14911
"NE ",14039
"NH ",13914
"WV ",12498
"LA ",12146
"WA ",9891
"SC ",9753
"KS ",9528
"OR ",8355
"DC ",4393
"ND ",4217
"OK ",3519
"VT ",2762
"NV ",2251
"SD ",1840
"RI ",1440
"WY ",1386
"WI ",744
"AK ",589
NA,299
"ID ",264
"MT ",222
"MSA",124
"HI ",72
"XY ",1
