"state","count"
"CA ",224971
"FL ",197988
"TX ",133627
"MI ",122030
"IL ",113104
"TN ",112435
"PA ",105452
"NC ",102304
"KY ",100431
"OH ",78585
"GA ",76267
"NY ",66460
"IA ",56452
"MA ",55633
"VA ",48265
"AZ ",44303
"CO ",42599
"AL ",40652
"MN ",38211
"IN ",38156
"CT ",33834
"MO ",32715
"ME ",29612
"MD ",24118
"DE ",23902
"MS ",23154
"UT ",21401
"NE ",20246
"NJ ",19899
"AR ",19703
"NM ",19312
"WV ",16268
"SC ",14172
"NH ",13334
"LA ",13292
"WA ",13156
"OR ",11440
"KS ",9705
"DC ",4964
"ND ",4410
"VT ",4252
"NV ",4237
"OK ",3646
"SD ",2128
"RI ",1539
"WY ",1502
"WI ",839
"AK ",627
NA,525
"ID ",339
"MT ",257
"MSA",131
"HI ",129
"XY ",11
