"state","count"
"CA ",131792
"FL ",107289
"MI ",68673
"TN ",64299
"PA ",63974
"TX ",62342
"NC ",61197
"KY ",44587
"GA ",42422
"NY ",39272
"OH ",36212
"IA ",35502
"AZ ",31141
"CO ",27614
"AL ",24402
"VA ",21767
"MO ",21311
"MN ",18285
"MA ",18194
"MD ",17317
"IN ",15163
"UT ",13648
"CT ",13546
"DE ",13177
"MS ",12664
"AR ",11425
"NM ",11073
"NE ",11021
"IL ",10803
"NJ ",10519
"ME ",10438
"SC ",8687
"LA ",8662
"WV ",8258
"NH ",7588
"WA ",6690
"KS ",6650
"OR ",6162
"DC ",3580
"VT ",2260
"OK ",2092
"NV ",2048
"ND ",2025
"WY ",1387
"SD ",1308
"RI ",990
"WI ",625
"AK ",545
NA,294
"MSA",130
"ID ",127
"MT ",115
"HI ",50
"XY ",4
