"state","count"
"CA ",227348
"FL ",192570
"TX ",124349
"MI ",117332
"TN ",113153
"NC ",101275
"KY ",99057
"PA ",87800
"GA ",67665
"OH ",65311
"NY ",62885
"IA ",56105
"VA ",47489
"CO ",44091
"MA ",43780
"AL ",40838
"AZ ",38544
"MN ",33675
"IN ",31868
"MO ",31863
"CT ",29188
"ME ",24386
"DE ",23329
"UT ",22971
"MD ",22016
"MS ",20180
"AR ",19863
"NM ",18072
"IL ",17517
"NE ",17173
"NJ ",15175
"WV ",14962
"NH ",13684
"LA ",13076
"SC ",12115
"WA ",11662
"KS ",9791
"OR ",8778
"DC ",5064
"ND ",4490
"OK ",3613
"VT ",2936
"NV ",2912
"SD ",2107
"RI ",1503
"WY ",1463
"WI ",832
"AK ",604
NA,390
"ID ",297
"MT ",250
"MSA",143
"HI ",100
"XY ",9
