"state","count"
"CA ",131612
"FL ",103470
"PA ",73708
"MI ",71195
"TX ",68534
"TN ",64900
"NC ",61957
"IL ",53039
"GA ",48381
"KY ",45984
"OH ",42205
"NY ",41136
"IA ",36134
"AZ ",34970
"CO ",26544
"AL ",25272
"MA ",25232
"VA ",23385
"MO ",22023
"MN ",20870
"IN ",18192
"CT ",17940
"MD ",17935
"MS ",14075
"DE ",13407
"ME ",13055
"NE ",12798
"UT ",12702
"NM ",11741
"AR ",11515
"NJ ",11140
"SC ",9880
"WV ",8953
"LA ",8622
"OR ",8022
"NH ",7762
"WA ",7547
"KS ",6549
"DC ",3484
"VT ",3273
"NV ",3170
"OK ",2163
"ND ",1994
"WY ",1365
"SD ",1324
"RI ",998
"WI ",557
"AK ",537
NA,371
"ID ",152
"MT ",126
"MSA",125
"HI ",61
"XY ",6
