"state","count"
"CA ",240458
"FL ",197117
"PA ",176659
"TX ",132347
"MI ",131812
"IL ",121894
"TN ",111058
"NC ",107905
"KY ",99277
"GA ",90481
"OH ",85597
"NY ",69118
"MA ",59426
"IA ",57874
"VA ",49526
"AZ ",45659
"IN ",42795
"AL ",41680
"CO ",41557
"MN ",38578
"MO ",33720
"CT ",33560
"ME ",29599
"NJ ",28309
"DE ",26459
"MD ",25892
"NE ",22792
"SC ",22340
"NM ",21116
"UT ",20447
"MS ",20302
"NH ",19205
"AR ",18764
"WV ",16791
"OR ",16698
"WA ",13401
"LA ",13386
"KS ",9764
"VT ",4996
"DC ",4924
"NV ",4660
"ND ",4122
"HI ",3526
"OK ",3517
"SD ",2145
"RI ",1489
"WY ",1463
"WI ",871
"AK ",613
NA,599
"ID ",458
"MT ",261
"MSA",136
"XY ",9
