"state","count"
"CA ",128379
"FL ",104928
"TN ",94165
"MI ",93059
"NC ",91469
"KY ",72873
"GA ",56385
"OH ",52151
"PA ",50765
"TX ",49275
"IA ",47137
"VA ",39132
"AL ",37620
"CO ",35557
"MN ",32042
"CT ",25734
"UT ",25482
"ME ",24109
"DE ",21490
"IN ",20654
"MA ",20537
"AR ",16902
"MS ",15507
"NY ",15106
"MO ",15004
"NH ",14752
"MD ",14431
"NJ ",14311
"NE ",13587
"IL ",12955
"NM ",11828
"SC ",9172
"KS ",9130
"LA ",8820
"WA ",8005
"AZ ",6024
"DC ",3897
"ND ",3748
"OR ",3604
"OK ",3126
"WV ",2682
"WY ",1437
"NV ",1375
"RI ",1331
"SD ",1167
"VT ",1060
"WI ",720
"AK ",521
"ID ",212
"MT ",160
"MSA",128
NA,105
"HI ",37
