"state","count"
"CA ",914942
"NC ",843153
"FL ",839275
"TN ",748415
"MI ",595079
"GA ",550385
"MN ",472153
"PA ",465292
"IA ",451221
"VA ",449918
"TX ",367615
"NY ",341804
"CO ",339759
"KY ",335109
"MD ",316839
"AL ",314256
"UT ",280977
"IL ",237134
"OH ",231665
"IN ",178787
"MO ",160776
"CT ",155719
"NJ ",137696
"NE ",135479
"MS ",133712
"MA ",121557
"AR ",121219
"SC ",108866
"NH ",97322
"KS ",96580
"DE ",93430
"ME ",89064
"AZ ",87407
"OK ",75161
"NM ",66643
"NV ",62681
"LA ",49580
"WA ",42162
"OR ",41842
"ND ",29885
"WI ",23267
"DC ",19897
"WY ",17421
"WV ",16900
"SD ",15947
"AK ",9453
"VT ",8453
"ID ",5844
"RI ",1996
"MT ",1879
"MSA",1275
NA,1230
"HI ",415
