"state","count"
"CA ",140792
"PA ",107245
"FL ",101691
"MI ",76702
"TX ",68480
"TN ",64540
"NC ",64250
"IL ",57969
"GA ",56517
"KY ",46048
"OH ",45396
"NY ",42690
"IA ",38294
"AZ ",35679
"MA ",27696
"CO ",25597
"VA ",25438
"AL ",24820
"MO ",23202
"MN ",21164
"IN ",20903
"CT ",20051
"MD ",18657
"NE ",14497
"SC ",14387
"NJ ",13401
"ME ",13256
"DE ",13169
"MS ",12652
"NM ",12476
"UT ",12450
"OR ",11743
"NH ",11351
"AR ",10934
"WV ",9318
"LA ",8653
"WA ",7708
"KS ",6622
"VT ",3779
"NV ",3650
"DC ",3471
"HI ",2743
"OK ",2025
"ND ",1961
"WY ",1384
"SD ",1302
"RI ",955
"WI ",569
"AK ",529
NA,439
"ID ",199
"MSA",132
"MT ",132
"XY ",3
