"state","count"
"CA ",1628913
"FL ",1514634
"PA ",1423592
"NC ",1183599
"IL ",996486
"MI ",928052
"TX ",915488
"TN ",893082
"GA ",861315
"KY ",817905
"VA ",658727
"NY ",642554
"OH ",570604
"IA ",547663
"AZ ",443200
"MN ",397752
"IN ",396347
"CT ",353539
"MA ",349267
"MD ",347727
"CO ",342432
"AL ",309906
"SC ",297523
"MO ",254314
"NE ",243375
"NJ ",234169
"UT ",194691
"OR ",185630
"MS ",159746
"WV ",150449
"AR ",144523
"NM ",136053
"ME ",132891
"DE ",124632
"NH ",116412
"WA ",113493
"LA ",104571
"KS ",93435
"NV ",77437
"HI ",76096
"OK ",59763
"VT ",47935
"ND ",33509
"DC ",28572
"SD ",21115
"WI ",19497
"WY ",16175
NA,11422
"AK ",10405
"RI ",10191
"ID ",3850
"MT ",3312
"MSA",1351
"XY ",87
