"state","count"
"CA ",187224
"FL ",151975
"MI ",112433
"TN ",98786
"NC ",97637
"TX ",90749
"KY ",84495
"PA ",65363
"GA ",59557
"OH ",55395
"IA ",48774
"NY ",42856
"VA ",42298
"CO ",39786
"AL ",38916
"MN ",32947
"CT ",25945
"MA ",25530
"ME ",25452
"UT ",25325
"AZ ",24290
"DE ",23156
"IN ",22104
"AR ",18932
"MS ",16537
"NJ ",16371
"MO ",15977
"MD ",15684
"NH ",15024
"NM ",14819
"IL ",14643
"NE ",13907
"LA ",11507
"SC ",9837
"KS ",9605
"WA ",9264
"OR ",7701
"DC ",4192
"ND ",4003
"OK ",3522
"WV ",3039
"VT ",2661
"NV ",2100
"RI ",1449
"WY ",1429
"SD ",1314
"WI ",790
"AK ",462
"ID ",235
"MT ",197
NA,196
"MSA",127
"HI ",55
