"state","count"
"FL ",1549765
"CA ",1482393
"NC ",1098559
"TN ",923644
"PA ",765177
"MI ",757527
"TX ",748331
"KY ",735922
"GA ",578220
"VA ",537276
"NY ",513214
"IA ",446743
"CO ",359891
"OH ",353549
"MN ",347165
"AZ ",322213
"MD ",319165
"AL ",286968
"UT ",245147
"CT ",242071
"IL ",235793
"IN ",214808
"MO ",202706
"MA ",184032
"AR ",162388
"NJ ",157682
"SC ",150863
"MS ",140549
"NE ",135547
"WV ",110279
"NM ",107174
"DE ",103836
"KS ",97722
"OR ",92626
"WA ",85738
"LA ",84053
"NH ",82643
"ME ",80602
"OK ",63691
"NV ",59387
"ND ",31878
"VT ",23170
"DC ",21487
"WI ",19745
"SD ",18539
"WY ",16230
"AK ",11091
"RI ",10718
NA,5075
"ID ",4843
"MT ",2463
"MSA",1223
"HI ",650
"XY ",89
