"state","count"
"CA ",1572051
"FL ",1549705
"NC ",1151190
"PA ",994169
"IL ",969753
"TX ",930092
"TN ",929829
"MI ",837405
"KY ",811327
"GA ",735138
"NY ",618330
"VA ",585646
"OH ",535703
"IA ",512620
"AZ ",441065
"MN ",412610
"MD ",362942
"CO ",362071
"CT ",340354
"IN ",338081
"MA ",323741
"AL ",317399
"MO ",245112
"UT ",208023
"NE ",207276
"SC ",201714
"NJ ",196320
"MS ",172598
"AR ",163695
"WV ",147176
"ME ",130256
"NM ",125989
"OR ",125631
"DE ",118497
"WA ",117193
"LA ",98518
"KS ",94795
"NH ",80398
"NV ",78209
"OK ",59811
"VT ",39009
"ND ",34544
"DC ",29994
"SD ",21574
"WI ",20688
"WY ",16911
"RI ",10814
"AK ",10580
NA,10124
"MT ",3071
"ID ",2942
"MSA",1446
"HI ",1037
"XY ",361
