"state","count"
"FL ",1144079
"CA ",964675
"NC ",828127
"TN ",752658
"MI ",666216
"GA ",576057
"PA ",541588
"VA ",475351
"KY ",467178
"TX ",453238
"MN ",452200
"IA ",442481
"NY ",349252
"CO ",342348
"MD ",323595
"OH ",315024
"AL ",306542
"UT ",287380
"CT ",259026
"IL ",239974
"IN ",207433
"AR ",154555
"MO ",150649
"NJ ",147993
"AZ ",134011
"NE ",132951
"MS ",129768
"MA ",128636
"SC ",110752
"KS ",102483
"DE ",100801
"NH ",92270
"ME ",83595
"NM ",78375
"OK ",73819
"LA ",66909
"NV ",59753
"OR ",54795
"WA ",50299
"WV ",30324
"ND ",29067
"WI ",22313
"DC ",20839
"WY ",17768
"SD ",14113
"RI ",12289
"AK ",10286
"VT ",8747
"ID ",5688
NA,2003
"MT ",1947
"MSA",1220
"HI ",482
