"state","count"
"CA ",235294
"FL ",191284
"PA ",187925
"MI ",134681
"TX ",128163
"NC ",124006
"IL ",122602
"TN ",109196
"KY ",101323
"GA ",92969
"OH ",90009
"NY ",70163
"MA ",59239
"IA ",56697
"VA ",51387
"IN ",48144
"AZ ",46059
"CO ",43314
"AL ",43064
"MN ",38641
"MO ",33376
"SC ",30340
"ME ",28851
"CT ",28546
"MD ",27941
"NJ ",27425
"DE ",25910
"OR ",25442
"NE ",23576
"NM ",22484
"OK ",19403
"UT ",19154
"NH ",18309
"AR ",17935
"WV ",17158
"MS ",16498
"WA ",13473
"LA ",13128
"KS ",9699
"HI ",8837
"NV ",5404
"DC ",5286
"VT ",5082
"ND ",3676
"SD ",2161
"WY ",1505
"RI ",1489
"WI ",893
NA,750
"AK ",609
"ID ",489
"MT ",268
"MSA",135
"XY ",8
