"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",20216,24285,22641,26708,21198,20001,17446,17392
"15 - 29",3768,4731,4096,4522,3176,2838,2322,2234
"30 - 44",6379,8010,7385,8844,7079,6645,5638,5438
"45 - 55",6004,7161,7128,8390,6678,6143,5264,5061
"55+",6577,8071,8257,9872,8423,8255,7468,7529
"Unknown age",0,0,0,0,0,0,0,0
"male",12700,15499,15811,19074,15670,14976,13416,13405
"female",7469,8742,6772,7553,5467,4955,3952,3898
"Unknown Sex",0,0,0,0,0,0,0,0
"White",7975,9995,8773,10194,7869,7287,6049,5891
"African American",4599,6623,7046,8268,6505,5943,5118,4963
"Hispanic",0,0,0,0,0,0,0,0
"Asian",240,349,316,369,270,286,265,268
"Other or Unknown",0,0,0,0,0,0,0,0
