"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",20305474,19629408,18405527,16868708,15332260,14640798,12423922,11304536
"15 - 29",2950978,2814538,2573885,2283639,2029937,1905147,1567146,1391373
"30 - 44",3561763,3376166,3124769,2821116,2560721,2445997,2035514,1831838
"45 - 55",3685057,3469642,3157309,2824148,2519580,2367686,1983872,1772718
"55+",10076453,9934343,9508510,8901600,8181280,7873777,6784473,6251638
"Unknown age",31223,34719,41054,38205,40742,48191,52917,56969
"male",8444488,8187208,7694727,7101867,6470682,6187453,5261159,4820647
"female",11829763,11407481,10669746,9728636,8820836,8405154,7109846,6426920
"Unknown Sex",31223,34719,41054,38205,40742,48191,52917,56969
"White",13513729,13185373,12350002,11333324,10193973,9484929,7872592,7047161
"African American",1479968,1484239,1453040,1261924,1149278,1088046,899867,807733
"Hispanic",0,0,0,0,0,0,0,0
"Asian",395595,370145,345691,322924,291680,274211,220223,202734
"Other or Unknown",4916182,4589651,4256794,3950536,3697329,3793612,3431240,3246908
