"","2016","2017","2018","2019","2020","2021","2022","2023"
"All","2001","2002","2003","2004","2005","2006","2007","2008"
"15 - 29","2001011 2001001","2002011 2002001","2003011 2003001","2004011 2004001","2005011 2005001","2006011 2006001","2007011 2007001","2008011 2008001"
"30 - 44","2001012 2001002","2002012 2002002","2003012 2003002","2004012 2004002","2005012 2005002","2006012 2006002","2007012 2007002","2008012 2008002"
"45 - 55","2001013 2001003","2002013 2002003","2003013 2003003","2004013 2004003","2005013 2005003","2006013 2006003","2007013 2007003","2008013 2008003"
"55+","2001014 2001004","2002014 2002004","2003014 2003004","2004014 2004004","2005014 2005004","2006014 2006004","2007014 2007004","2008014 2008004"
"Unknown age","0","0","0","0","0","0","0","0"
"male","2001001 2001002 2001003 2001004","2002001 2002002 2002003 2002004","2003001 2003002 2003003 2003004","2004001 2004002 2004003 2004004","2005001 2005002 2005003 2005004","2006001 2006002 2006003 2006004","2007001 2007002 2007003 2007004","2008001 2008002 2008003 2008004"
"female","2001011 2001012 2001013 2001014","2002011 2002012 2002013 2002014","2003011 2003012 2003013 2003014","2004011 2004012 2004013 2004014","2005011 2005012 2005013 2005014","2006011 2006012 2006013 2006014","2007011 2007012 2007013 2007014","2008011 2008012 2008013 2008014"
"Unknown Sex","0","0","0","0","0","0","0","0"
"White","2001015 2001005","2002015 2002005","2003015 2003005","2004015 2004005","2005015 2005005","2006015 2006005","2007015 2007005","2008015 2008005"
"African American","2001017 2001007","2002017 2002007","2003017 2003007","2004017 2004007","2005017 2005007","2006017 2006007","2007017 2007007","2008017 2008007"
"Hispanic","2001018 2001008","2002018 2002008","2003018 2003008","2004018 2004008","2005018 2005008","2006018 2006008","2007018 2007008","2008018 2008008"
"Asian","2001016 2001006","2002016 2002006","2003016 2003006","2004016 2004006","2005016 2005006","2006016 2006006","2007016 2007006","2008016 2008006"
"Other or Unknown","0","0","0","0","0","0","0","0"
