"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",30,52,69,70,28,20,19,30
"15 - 29",6,14,27,16,11,6,8,10
"30 - 44",14,19,26,29,10,9,7,11
"45 - 55",9,16,15,13,5,5,2,3
"55+",8,9,12,16,6,4,5,8
"Unknown age",0,0,0,0,0,0,0,0
"male",11,23,31,28,11,13,12,17
"female",19,29,38,42,17,7,7,13
"Unknown Sex",0,0,0,0,0,0,0,0
"White",14,24,29,21,9,10,11,17
"African American",8,11,17,26,7,4,3,2
"Hispanic",0,0,0,0,0,0,0,0
"Asian",0,1,1,1,0,0,0,0
"Other or Unknown",0,0,0,0,0,0,0,0
